Pavadinimas,Rajonas,Gatve,Kaina,Visa_info,Dydis,Kambariai,Metai,Aukstas/is,Nuoroda
"Centras, E. Ožeškienės g.",Centras, E. Ožeškienės g.,119 999 ,"
                            3 rooms, 70,33 m², 2/3 floor, 1912 year, brick, gas, fully equipped                        ", 70.33 ,3, 1912 , 2/3 ,/butai-kaune-centre-e-ozeskienes-g-butas-miesto-centre-puiki-investicija-1-3031113/?return_url=%2Fbutai%2Fkaune%2Fpuslapis%2F3%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Romainiai, Audenio g.",Romainiai, Audenio g.,159 000 ,"
                            3 rooms, 94,67 m², 1/2 floor, 2014 year, brick, gas, fully equipped                        ", 94.67 ,3, 2014 , 1/2 ,/butai-kaune-romainiuose-audenio-g-parduodamas-3-kamb-butas-su-kiemu-ir-terasa-1-3035607/?return_url=%2Fbutai%2Fkaune%2Fpuslapis%2F3%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Dainava, Taikos pr.",Dainava, Taikos pr.,92 643 ,"
                            3 rooms, 59,77 m², 1/5 floor, 2022 year, brick, central thermostat, partial decoration                        ", 59.77 ,3, 2022 , 1/5 ,/butai-kaune-dainavoje-taikos-pr-life-story-namai-kuriuos-sukureme-1-3034091/?return_url=%2Fbutai%2Fkaune%2Fpuslapis%2F3%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Senamiestis, Šv. Gertrūdos g.",Senamiestis, Šv. Gertrūdos g.,74 900 ,"
                            2 rooms, 46,42 m², 2/4 floor, 1957 year, brick, central, not equipped                        ", 46.42 ,2, 1957 , 2/4 ,/butai-kaune-senamiestyje-sv-gertrudos-g-parduodamas-2-kambariu-butas-kauno-1-3034165/?return_url=%2Fbutai%2Fkaune%2Fpuslapis%2F3%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Šilainiai, Rasytės g.",Šilainiai, Rasytės g.,59 000 ,"
                            3 rooms, 64 m², 2/12 floor, 1986 year, block house, central, fully equipped                        ", 64 ,3, 1986 , 2/12 ,/butai-kaune-silainiuose-rasytes-g-parduodamas-3k-butas-rasytes-g-10-silainiai-1-3020063/?return_url=%2Fbutai%2Fkaune%2Fpuslapis%2F3%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Senamiestis, Palangos g.",Senamiestis, Palangos g.,123 999 ,"
                            3 rooms, 65 m², 1/2 floor, 1952 year, brick, gas, fully equipped                        ", 65 ,3, 1952 , 1/2 ,/butai-kaune-senamiestyje-palangos-g-parduodamas-unikalioje-vietoje-kauno-miesto-1-3016691/?return_url=%2Fbutai%2Fkaune%2Fpuslapis%2F3%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Žemieji Šančiai, Kranto al.",Žemieji Šančiai, Kranto al.,85 200 ,"
                            4 rooms, 71 m², 4/5 floor, 1968 year, brick, central, not equipped                        ", 71 ,4, 1968 , 4/5 ,/butai-kaune-sanciuose-kranto-al-parduodamas-4-kambariu-butas-su-balkonu-per-1-3036229/?return_url=%2Fbutai%2Fkaune%2Fpuslapis%2F3%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Žaliakalnis, K. Petrausko g.",Žaliakalnis, K. Petrausko g.,56 999 ,"
                            2 rooms, 41,12 m², 3/4 floor, 1963 year, brick, central, not equipped                        ", 41.12 ,2, 1963 , 3/4 ,/butai-kaune-zaliakalnyje-k-petrausko-g-zaliakalnyje-parduodamas-2-kambariu-butas-1-3035527/?return_url=%2Fbutai%2Fkaune%2Fpuslapis%2F3%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Kalniečiai, Geležinio Vilko g.",Kalniečiai, Geležinio Vilko g.,99 800 ,"
                            4 rooms, 84 m², 3/9 floor, 1978 year, block house, central, electric, fully equipped                        ", 84 ,4, 1978 , 3/9 ,/butai-kaune-kalnieciuose-gelezinio-vilko-g-parduodamas-erdvus-ir-stilingas-jaukus-ir-1-3000267/?return_url=%2Fbutai%2Fkaune%2Fpuslapis%2F3%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Dainava, Taikos pr.",Dainava, Taikos pr.,101 556 ,"
                            3 rooms, 64,48 m², 7/7 floor, 2022 year, brick, central thermostat, partial decoration                        ", 64.48 ,3, 2022 , 7/7 ,/butai-kaune-dainavoje-taikos-pr-life-story-namai-kuriuos-sukureme-1-3031675/?return_url=%2Fbutai%2Fkaune%2Fpuslapis%2F3%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
