Pavadinimas,Rajonas,Gatve,Kaina,Visa_info,Dydis,Kambariai,Metai,Aukstas/is,Nuoroda
"Šilainiai, J. Grušo g.",Šilainiai, J. Grušo g.,240 ,"
                            1 rooms, 37 m², 3/5 floor, 1985 year, central, brick                        ", 37 ,1, 1985 , 3/5 ,/butu-nuoma-kaune-silainiuose-j-gruso-g-labai-patogioje-ir-strategineje-silainiu-4-1063531/?return_url=%2Fbutu-nuoma%2Fkaune%2Fpuslapis%2F2%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
"Dainava, Pašilės g.",Dainava, Pašilės g.,380 ,"
                            2 rooms, 47 m², 2/5 floor, 1980 year, central, block house                        ", 47 ,2, 1980 , 2/5 ,/butu-nuoma-kaune-dainavoje-pasiles-g-nuomojamas-kapitaliai-suremontuotas-dvieju-4-1079867/?return_url=%2Fbutu-nuoma%2Fkaune%2Fpuslapis%2F2%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
"Dainava, Biržiškų g.",Dainava, Biržiškų g.,490 ,"
                            2 rooms, 50 m², 2/6 floor, 2013 year, central thermostat, brick                        ", 50 ,2, 2013 , 2/6 ,/butu-nuoma-kaune-dainavoje-birzisku-g-isnuomojamas-dvieju-kambariu-naujai-irengtas-4-1079865/?return_url=%2Fbutu-nuoma%2Fkaune%2Fpuslapis%2F2%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
"Dainava, V. Krėvės pr.",Dainava, V. Krėvės pr.,340 ,"
                            1 rooms, 31 m², 4/5 floor, 1970 year, central, block house                        ", 31 ,1, 1970 , 4/5 ,/butu-nuoma-kaune-dainavoje-v-kreves-pr-1kambario-buto-nuoma-nuomuojamas-1kambario-4-1079857/?return_url=%2Fbutu-nuoma%2Fkaune%2Fpuslapis%2F2%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
"Dainava, V. Krėvės pr.",Dainava, V. Krėvės pr.,300 ,"
                            1 rooms, 31 m², 5/5 floor, 1969 year, central, block house                        ", 31 ,1, 1969 , 5/5 ,/butu-nuoma-kaune-dainavoje-v-kreves-pr-rezervuota-nuo-birzelio-15-d-nuomuojamas-4-1025989/?return_url=%2Fbutu-nuoma%2Fkaune%2Fpuslapis%2F2%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
"Eiguliai, Birželio 23-iosios g.",Eiguliai, Birželio 23-iosios g.,120 ,"
                            1 rooms, 17,1 m², 4/5 floor, 1985 year, central, brick                        ", 17.1 ,1, 1985 , 4/5 ,/butu-nuoma-kaune-eiguliuose-birzelio-23-iosios-g-nuomoju-kambari-isnuomojamas-kambarys-triju-4-1079735/?return_url=%2Fbutu-nuoma%2Fkaune%2Fpuslapis%2F2%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
"Vilnius, Pašilaičiai, Laisvės pr.",Vilnius, Pašilaičiai,97 000 ,"
                            2 k., 60 m², 9/9 aukšt., 2009 m., mūrinis, centrinis kolektorinis, elektra, įrengtas                        ",                        2 k.. 60 ,"2 k., 60 m², 9/9 aukšt., 2009 m., mūrinis, centrinis kolektorinis, elektra, įrengtas","                        2 k., 60 m², 9/9 aukšt., 2009 m., mūrinis, centrinis kolektorinis, elektra, įrengtas                       "," 9/9 aukšt., 2009 m., mūrinis, centrinis kolektorinis, elektra, įrengtas                       ",/butai-vilniuje-pasilaiciuose-laisves-pr-4-27813751/?return_url=%2Fbutai%2F%3Fobj%3D1
"Vilijampolė, A. Strazdo g.",Vilijampolė, A. Strazdo g.,650 ,"
                            3 rooms, 77 m², 4/4 floor, 2008 year, gas, brick                        ", 77 ,3, 2008 , 4/4 ,/butu-nuoma-kaune-vilijampoleje-a-strazdo-g-isnuomojamas-puikus-butas-su-geru-susisiekimu-4-1079139/?return_url=%2Fbutu-nuoma%2Fkaune%2Fpuslapis%2F3%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
"Žaliakalnis, K. Petrausko g.",Žaliakalnis, K. Petrausko g.,350 ,"
                            2 rooms, 50 m², 1/3 floor, 1951 year, gas, brick                        ", 50 ,2, 1951 , 1/3 ,/butu-nuoma-kaune-zaliakalnyje-k-petrausko-g-nuomojamas-tvarkingas-dvieju-kambariu-butas-4-1079715/?return_url=%2Fbutu-nuoma%2Fkaune%2Fpuslapis%2F3%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
"Centras, A. Mickevičiaus g.",Centras, A. Mickevičiaus g.,150 ,"
                            2 rooms, 18 m², 1/2 floor, 1901 year, gas, brick                        ", 18 ,2, 1901 , 1/2 ,/butu-nuoma-kaune-centre-a-mickeviciaus-g-isnuomojamas-kambarys-kauno-centre-a-4-1001107/?return_url=%2Fbutu-nuoma%2Fkaune%2Fpuslapis%2F3%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
"Centras, V. Putvinskio g.",Centras, V. Putvinskio g.,400 ,"
                            2 rooms, 40 m², 2/4 floor, 1980 year, central, brick                        ", 40 ,2, 1980 , 2/4 ,/butu-nuoma-kaune-centre-v-putvinskio-g-jaukus-nedidelis-butas-kauno-sirdyje-4-1079623/?return_url=%2Fbutu-nuoma%2Fkaune%2Fpuslapis%2F3%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
"Dainava, A. ir J. Gravrogkų g.",Dainava, A. ir J. Gravrogkų g.,220 ,"
                            1 rooms, 17 m², 4/5 floor, 1974 year, central, block house                        ", 17 ,1, 1974 , 4/5 ,/butu-nuoma-kaune-dainavoje-a-ir-j-gravrogku-g-isnuomojamas-naujai-irengtas-butas-studija-4-1060657/?return_url=%2Fbutu-nuoma%2Fkaune%2Fpuslapis%2F3%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
"Žaliakalnis, Partizanų g.",Žaliakalnis, Partizanų g.,540 ,"
                            3 rooms, 77 m², 6/7 floor, 2010 year, central thermostat, brick                        ", 77 ,3, 2010 , 6/7 ,/butu-nuoma-kaune-zaliakalnyje-partizanu-g-erdvus-ir-sviesus-butas-4-1079591/?return_url=%2Fbutu-nuoma%2Fkaune%2Fpuslapis%2F3%2F%3Fobj%3D4%26FRegion%3D43%26FDistrict%3D6
