Pavadinimas,Rajonas,Gatve,Kaina,Dydis,Kambariai,Metai,Aukstas/is,Nuoroda
"Kauno m. sav., Kauno m., Aukštieji Šančiai, Vievio g.", Aukštieji Šančiai, Vievio g.,"64,900 ", 64.03,3,1991,1/5,https://www.capital.lt/lt/parduodamas-butas-vievio-g-74-aukstuosiuose-sanciuose-kaune-6403-kvm-ploto-3-kambariai-p230233
"Kauno m. sav., Kauno m., Aukštieji Šančiai, Prancūzų g.", Aukštieji Šančiai, Prancūzų g.,"49,999 ", 39.54,2,1986,10/12,https://www.capital.lt/lt/parduodamas-butas-prancuzu-g-6-aukstuosiuose-sanciuose-kaune-3954-kvm-ploto-2-kambariai-p230210
"Kauno m. sav., Kauno m., Pienių g.", Pienių g.,NaN,"44,300 ", 34.0,1,1972,2/2,https://www.capital.lt/lt/parduodamas-butas-vandziogalos-pl-sargenuose-3383-kvm-ploto-1-kambariai-p230186
"Kauno m. sav., Kauno m., Vilijampolė, Linkuvos g.", Vilijampolė, Linkuvos g.,"49,000 ", 46.19,3,1972,5/5,https://www.capital.lt/lt/parduodamas-butas-linkuvos-g-55-vilijampoleje-kaune-4619-kvm-ploto-3-kambariai-p230181
"Kauno m. sav., Kauno m., Senamiestis, Šv. Gertrūdos g.", Senamiestis, Šv. Gertrūdos g.,"72,900 ", 46.42,2,1957,2/4,https://www.capital.lt/lt/parduodamas-butas-sv-gertrudos-g-3-senamiestyje-kaune-4642-kvm-ploto-2-kambariai-p230179
"Kauno m. sav., Kauno m., Lampėdžiai, Gintaro g.", Lampėdžiai, Gintaro g.,"119,000 ", 53.8,2,2007,2/4,https://www.capital.lt/lt/parduodamas-butas-gintaro-g-9-kaune-5380-kvm-ploto-2-kambariai-p230173
"Kauno m. sav., Kauno m., Dainava, V. Krėvės pr.", Dainava, V. Krėvės pr.,"61,670 ", 44.05,2,2022,2/4,https://www.capital.lt/lt/parduodamas-butas-v-kreves-pr-112a-dainavoje-kaune-4405-kvm-ploto-2-kambariai-p230160
"Kauno m. sav., Kauno m., Dainava, V. Krėvės pr.", Dainava, V. Krėvės pr.,"66,433 ", 42.86,2,2022,2/4,https://www.capital.lt/lt/parduodamas-butas-v-kreves-pr-112a-dainavoje-kaune-4286-kvm-ploto-2-kambariai-p230159
"Kauno m. sav., Kauno m., Šilainiai, Baltų pr.", Šilainiai, Baltų pr.,"72,000 ", 82.9,4,1990,1/9,https://www.capital.lt/lt/parduodamas-butas-baltu-pr-67-silainiuose-kaune-8290-kvm-ploto-4-kambariai-p230149
"Kauno m. sav., Kauno m., Sargėnai, Pienių g.", Sargėnai, Pienių g.,"44,300 ", 34.0,1,1972,2/2,https://www.capital.lt/lt/parduodamas-butas-pieniu-g-sargenuose-kaune-3400-kvm-ploto-1-kambariai-p230129
"Kauno m. sav., Kauno m., Alsėdžių g.", Alsėdžių g.,NaN,"78,600 ", 72.55,4,1975,5/5,https://www.capital.lt/lt/parduodamas-butas-alsedziu-g-kaune-7255-kvm-ploto-4-kambariai-p230128
